"","simnum","dHat","nHat","pHat","pHatZeroNeg","pHatDropNeg","aHat","square","TrapSpacing","FielSize","CatchRadius","NumVentures","density"
"1",1,0.5,2,1,1,1,4,"1",1,10,0.5,4,0.5
"2",1,0.4375,7,1,1,1,16,"2",1,10,0.5,4,0.5
"3",1,0.589869281045752,21.2352941176471,0.675557157738475,0.675557157738475,0.675557157738475,36,"3",1,10,0.5,4,0.5
"4",1,0.705078125,45.125,0.602640292880487,0.602640292880487,0.602640292880487,64,"4",1,10,0.5,4,0.5
"5",1,0.859523809523809,24.0666666666667,0.541168532258876,0.541168532258876,0.541168532258876,28,"5",1,10,0.5,4,0.5
"6",2,0.5,2,1,1,1,4,"1",1,10,0.5,4,0.5
"7",2,0.375,6,1,1,1,16,"2",1,10,0.5,4,0.5
"8",2,0.667929292929293,24.0454545454545,0.791485585942925,0.791485585942925,0.791485585942925,36,"3",1,10,0.5,4,0.5
"9",2,0.698275862068966,44.6896551724138,0.559041448155902,0.559041448155902,0.559041448155902,64,"4",1,10,0.5,4,0.5
"10",2,0.862244897959184,24.1428571428571,0.320633779513243,0.320633779513243,0.320633779513243,28,"5",1,10,0.5,4,0.5
"11",3,1.25,5,1,1,1,4,"1",1,10,0.5,4,0.5
"12",3,0.5625,9,1,1,1,16,"2",1,10,0.5,4,0.5
"13",3,0.589869281045752,21.2352941176471,0.675557157738475,0.675557157738475,0.675557157738475,36,"3",1,10,0.5,4,0.5
"14",3,0.675,43.2,0.591751709536137,0.591751709536137,0.591751709536137,64,"4",1,10,0.5,4,0.5
"15",3,0.793956043956044,22.2307692307692,0.514928749927334,0.514928749927334,0.514928749927334,28,"5",1,10,0.5,4,0.5
"16",4,0.75,3,1,1,1,4,"1",1,10,0.5,4,0.5
"17",4,0.390625,6.25,0.552786404500042,0.552786404500042,0.552786404500042,16,"2",1,10,0.5,4,0.5
"18",4,0.584795321637427,21.0526315789474,0.776393202250021,0.776393202250021,0.776393202250021,36,"3",1,10,0.5,4,0.5
"19",4,0.705078125,45.125,0.602640292880487,0.602640292880487,0.602640292880487,64,"4",1,10,0.5,4,0.5
"20",4,0.89010989010989,24.9230769230769,0.47295372330527,0.47295372330527,0.47295372330527,28,"5",1,10,0.5,4,0.5
"21",5,0.25,1,1,1,1,4,"1",1,10,0.5,4,0.5
"22",5,0.625,10,1,1,1,16,"2",1,10,0.5,4,0.5
"23",5,0.754830917874396,27.1739130434783,0.717157287525381,0.717157287525381,0.717157287525381,36,"3",1,10,0.5,4,0.5
"24",5,0.74267578125,47.53125,0.576340727131838,0.576340727131838,0.576340727131838,64,"4",1,10,0.5,4,0.5
"25",5,0.777777777777778,21.7777777777778,0.402385695332803,0.402385695332803,0.402385695332803,28,"5",1,10,0.5,4,0.5
"26",6,0.25,1,1,1,1,4,"1",1,10,0.5,4,0.5
"27",6,0.4375,7,1,1,1,16,"2",1,10,0.5,4,0.5
"28",6,0.64021164021164,23.047619047619,0.78679928364439,0.78679928364439,0.78679928364439,36,"3",1,10,0.5,4,0.5
"29",6,0.725328947368421,46.4210526315789,0.691393300075816,0.691393300075816,0.691393300075816,64,"4",1,10,0.5,4,0.5
"30",6,0.840336134453782,23.5294117647059,0.612701665379258,0.612701665379258,0.612701665379258,28,"5",1,10,0.5,4,0.5
"31",7,0.5,2,1,1,1,4,"1",1,10,0.5,4,0.5
"32",7,0.25,4,1,1,1,16,"2",1,10,0.5,4,0.5
"33",7,0.474074074074074,17.0666666666667,0.75,0.75,0.75,36,"3",1,10,0.5,4,0.5
"34",7,0.725328947368421,46.4210526315789,0.691393300075816,0.691393300075816,0.691393300075816,64,"4",1,10,0.5,4,0.5
"35",7,1.04968944099379,29.3913043478261,0.660316889756621,0.660316889756621,0.660316889756621,28,"5",1,10,0.5,4,0.5
"36",8,0.25,1,1,1,1,4,"1",1,10,0.5,4,0.5
"37",8,0.5625,9,1,1,1,16,"2",1,10,0.5,4,0.5
"38",8,0.474074074074074,17.0666666666667,0.75,0.75,0.75,36,"3",1,10,0.5,4,0.5
"39",8,0.698275862068966,44.6896551724138,0.559041448155902,0.559041448155902,0.559041448155902,64,"4",1,10,0.5,4,0.5
"40",8,1.02040816326531,28.5714285714286,0.452277442494834,0.452277442494834,0.452277442494834,28,"5",1,10,0.5,4,0.5
"41",9,0.25,1,1,1,1,4,"1",1,10,0.5,4,0.5
"42",9,0.1875,3,1,1,1,16,"2",1,10,0.5,4,0.5
"43",9,0.6125,22.05,0.781782109764008,0.781782109764008,0.781782109764008,36,"3",1,10,0.5,4,0.5
"44",9,0.744932432432432,47.6756756756757,0.654967220328823,0.654967220328823,0.654967220328823,64,"4",1,10,0.5,4,0.5
"45",9,0.926470588235294,25.9411764705882,0.563564219528015,0.563564219528015,0.563564219528015,28,"5",1,10,0.5,4,0.5
"46",10,0.5,2,1,1,1,4,"1",1,10,0.5,4,0.5
"47",10,0.4375,7,1,1,1,16,"2",1,10,0.5,4,0.5
"48",10,0.535185185185185,19.2666666666667,0.657002829714982,0.657002829714982,0.657002829714982,36,"3",1,10,0.5,4,0.5
"49",10,0.736177884615385,47.1153846153846,0.49290744716289,0.49290744716289,0.49290744716289,64,"4",1,10,0.5,4,0.5
"50",10,1.05194805194805,29.4545454545455,0.376390435537676,0.376390435537676,0.376390435537676,28,"5",1,10,0.5,4,0.5
"51",1,1,4,1,1,1,4,"1",1,10,0.5,4,1
"52",1,0.9375,15,1,1,1,16,"2",1,10,0.5,4,1
"53",1,1.1141975308642,40.1111111111111,0.770584266129438,0.770584266129438,0.770584266129438,36,"3",1,10,0.5,4,1
"54",1,1.39308035714286,89.1571428571429,0.662473629722193,0.662473629722193,0.662473629722193,64,"4",1,10,0.5,4,1
"55",1,1.76575630252101,49.4411764705882,0.586803064729331,0.586803064729331,0.586803064729331,28,"5",1,10,0.5,4,1
