"","simnum","dHat","nHat","pHat","pHatZeroNeg","pHatDropNeg","aHat","square","TrapSpacing","FielSize","CatchRadius","NumVisits","density"
"1",1,0.25,1,1,1,1,4,"1",1,10,0.5,4,0.5
"2",1,0.8125,13,1,1,1,16,"2",1,10,0.5,4,0.5
"3",1,0.64021164021164,23.047619047619,0.78679928364439,0.78679928364439,0.78679928364439,36,"3",1,10,0.5,4,0.5
"4",1,0.698275862068966,44.6896551724138,0.559041448155902,0.559041448155902,0.559041448155902,64,"4",1,10,0.5,4,0.5
"5",1,0.875,24.5,0.345346329292023,0.345346329292023,0.345346329292023,28,"5",1,10,0.5,4,0.5
"6",2,0.25,1,1,1,1,4,"1",1,10,0.5,4,0.5
"7",2,0.333333333333333,5.33333333333333,0.5,0.5,0.5,16,"2",1,10,0.5,4,0.5
"8",2,0.529411764705882,19.0588235294118,0.764297739604484,0.764297739604484,0.764297739604484,36,"3",1,10,0.5,4,0.5
"9",2,0.683712121212121,43.7575757575758,0.637261874944994,0.637261874944994,0.637261874944994,64,"4",1,10,0.5,4,0.5
"10",2,0.892857142857143,25,0.552786404500042,0.552786404500042,0.552786404500042,28,"5",1,10,0.5,4,0.5
"11",3,1,4,1,1,1,4,"1",1,10,0.5,4,0.5
"12",3,0.694444444444444,11.1111111111111,0.683772233983162,0.683772233983162,0.683772233983162,16,"2",1,10,0.5,4,0.5
"13",3,0.584795321637427,21.0526315789474,0.776393202250021,0.776393202250021,0.776393202250021,36,"3",1,10,0.5,4,0.5
"14",3,0.698988970588235,44.7352941176471,0.641942562980284,0.641942562980284,0.641942562980284,64,"4",1,10,0.5,4,0.5
"15",3,0.859523809523809,24.0666666666667,0.541168532258876,0.541168532258876,0.541168532258876,28,"5",1,10,0.5,4,0.5
"16",4,0.75,3,1,1,1,4,"1",1,10,0.5,4,0.5
"17",4,0.75625,12.1,0.698488655422236,0.698488655422236,0.698488655422236,16,"2",1,10,0.5,4,0.5
"18",4,0.6125,22.05,0.781782109764008,0.781782109764008,0.781782109764008,36,"3",1,10,0.5,4,0.5
"19",4,0.757575757575758,48.4848484848485,0.581669986732962,0.581669986732962,0.581669986732962,64,"4",1,10,0.5,4,0.5
"20",4,0.991758241758242,27.7692307692308,0.438048513050984,0.438048513050984,0.438048513050984,28,"5",1,10,0.5,4,0.5
"21",5,0.25,1,1,1,1,4,"1",1,10,0.5,4,0.5
"22",5,0.3125,5,1,1,1,16,"2",1,10,0.5,4,0.5
"23",5,0.361111111111111,13,1,1,1,36,"3",1,10,0.5,4,0.5
"24",5,0.713020833333333,45.6333333333333,0.56504116379916,0.56504116379916,0.56504116379916,64,"4",1,10,0.5,4,0.5
"25",5,1.21008403361345,33.8823529411765,0.459938275132678,0.459938275132678,0.459938275132678,28,"5",1,10,0.5,4,0.5
"26",6,0.5,2,1,1,1,4,"1",1,10,0.5,4,0.5
"27",6,0.4375,7,1,1,1,16,"2",1,10,0.5,4,0.5
"28",6,0.527777777777778,19,1,1,1,36,"3",1,10,0.5,4,0.5
"29",6,0.705078125,45.125,0.602640292880487,0.602640292880487,0.602640292880487,64,"4",1,10,0.5,4,0.5
"30",6,0.991758241758242,27.7692307692308,0.438048513050984,0.438048513050984,0.438048513050984,28,"5",1,10,0.5,4,0.5
"31",7,0.75,3,1,1,1,4,"1",1,10,0.5,4,0.5
"32",7,0.571428571428571,9.14285714285714,0.646446609406726,0.646446609406726,0.646446609406726,16,"2",1,10,0.5,4,0.5
"33",7,0.6125,22.05,0.781782109764008,0.781782109764008,0.781782109764008,36,"3",1,10,0.5,4,0.5
"34",7,0.653225806451613,41.8064516129032,0.627322003750035,0.627322003750035,0.627322003750035,64,"4",1,10,0.5,4,0.5
"35",7,0.73051948051948,20.4545454545455,0.483602220505678,0.483602220505678,0.483602220505678,28,"5",1,10,0.5,4,0.5
"36",8,0.25,1,1,1,1,4,"1",1,10,0.5,4,0.5
"37",8,0.625,10,1,1,1,16,"2",1,10,0.5,4,0.5
"38",8,0.555555555555556,20,1,1,1,36,"3",1,10,0.5,4,0.5
"39",8,0.723214285714286,46.2857142857143,0.528595479208968,0.528595479208968,0.528595479208968,64,"4",1,10,0.5,4,0.5
"40",8,1.14285714285714,32,0.292893218813452,0.292893218813452,0.292893218813452,28,"5",1,10,0.5,4,0.5
"41",9,0.5,2,1,1,1,4,"1",1,10,0.5,4,0.5
"42",9,0.375,6,1,1,1,16,"2",1,10,0.5,4,0.5
"43",9,0.472222222222222,17,1,1,1,36,"3",1,10,0.5,4,0.5
"44",9,0.663602941176471,42.4705882352941,0.675557157738475,0.675557157738475,0.675557157738475,64,"4",1,10,0.5,4,0.5
"45",9,0.926470588235294,25.9411764705882,0.563564219528015,0.563564219528015,0.563564219528015,28,"5",1,10,0.5,4,0.5
"46",10,NA,NA,NA,NA,NA,4,"1",1,10,0.5,4,0.5
"47",10,0.375,6,1,1,1,16,"2",1,10,0.5,4,0.5
"48",10,0.416666666666667,15,1,1,1,36,"3",1,10,0.5,4,0.5
"49",10,0.683712121212121,43.7575757575758,0.637261874944994,0.637261874944994,0.637261874944994,64,"4",1,10,0.5,4,0.5
"50",10,1.04960317460317,29.3888888888889,0.533747595879843,0.533747595879843,0.533747595879843,28,"5",1,10,0.5,4,0.5
