"dHat","nHat","pHat","pHatZeroNeg","pHatDropNeg","aHat","square","TrapSpacing","FieldSize","CatchRadius","NumVisits","density","simnum","paramnum"
2,0.5,1,1,1,4,"1",1,10,0.5,4,0.5,1,1
11,0.6875,1,1,1,16,"2",1,10,0.5,4,0.5,1,1
24,0.666666666666667,1,1,1,36,"3",1,10,0.5,4,0.5,1,1
42.78125,0.66845703125,0.632392688953096,0.632392688953096,0.632392688953096,64,"4",1,10,0.5,4,0.5,1,1
21.125,0.754464285714286,0.379826327053958,0.379826327053958,0.379826327053958,28,"5",1,10,0.5,4,0.5,1,1
4,1,1,1,1,4,"1",1,10,0.5,4,0.5,2,1
11,0.6875,1,1,1,16,"2",1,10,0.5,4,0.5,2,1
23.047619047619,0.64021164021164,0.78679928364439,0.78679928364439,0.78679928364439,36,"3",1,10,0.5,4,0.5,2,1
43.2432432432432,0.675675675675676,0.726138721247417,0.726138721247417,0.726138721247417,64,"4",1,10,0.5,4,0.5,2,1
20.25,0.723214285714286,0.666666666666667,0.666666666666667,0.666666666666667,28,"5",1,10,0.5,4,0.5,2,1
NA,NA,NA,NA,NA,4,"1",1,10,0.5,4,0.5,3,1
4,0.25,1,1,1,16,"2",1,10,0.5,4,0.5,3,1
21,0.583333333333333,1,1,1,36,"3",1,10,0.5,4,0.5,3,1
47.219512195122,0.73780487804878,0.738883516066453,0.738883516066453,0.738883516066453,64,"4",1,10,0.5,4,0.5,3,1
26.45,0.944642857142857,0.638842440742692,0.638842440742692,0.638842440742692,28,"5",1,10,0.5,4,0.5,3,1
3,0.75,1,1,1,4,"1",1,10,0.5,4,0.5,4,1
9,0.5625,1,1,1,16,"2",1,10,0.5,4,0.5,4,1
17.0666666666667,0.474074074074074,0.75,0.75,0.75,36,"3",1,10,0.5,4,0.5,4,1
44.7352941176471,0.698988970588235,0.641942562980284,0.641942562980284,0.641942562980284,64,"4",1,10,0.5,4,0.5,4,1
27.8421052631579,0.994360902255639,0.58297117188585,0.58297117188585,0.58297117188585,28,"5",1,10,0.5,4,0.5,4,1
2,0.5,1,1,1,4,"1",1,10,0.5,4,0.5,5,1
7,0.4375,1,1,1,16,"2",1,10,0.5,4,0.5,5,1
17,0.472222222222222,1,1,1,36,"3",1,10,0.5,4,0.5,5,1
40.8333333333333,0.638020833333333,0.622035526990773,0.622035526990773,0.622035526990773,64,"4",1,10,0.5,4,0.5,5,1
24.9230769230769,0.89010989010989,0.47295372330527,0.47295372330527,0.47295372330527,28,"5",1,10,0.5,4,0.5,5,1
3,0.75,1,1,1,4,"1",1,10,0.5,4,0.5,6,1
8,0.5,1,1,1,16,"2",1,10,0.5,4,0.5,6,1
24.0454545454545,0.667929292929293,0.791485585942925,0.791485585942925,0.791485585942925,36,"3",1,10,0.5,4,0.5,6,1
47.0588235294118,0.735294117647059,0.612701665379258,0.612701665379258,0.612701665379258,64,"4",1,10,0.5,4,0.5,6,1
24.0833333333333,0.860119047619048,0.45767385545336,0.45767385545336,0.45767385545336,28,"5",1,10,0.5,4,0.5,6,1
3,0.75,1,1,1,4,"1",1,10,0.5,4,0.5,7,1
9,0.5625,1,1,1,16,"2",1,10,0.5,4,0.5,7,1
25.0434782608696,0.695652173913043,0.795875854768068,0.795875854768068,0.795875854768068,36,"3",1,10,0.5,4,0.5,7,1
45.4324324324324,0.709881756756757,0.687652476222788,0.687652476222788,0.687652476222788,64,"4",1,10,0.5,4,0.5,7,1
20.6428571428571,0.737244897959184,0.579915974791597,0.579915974791597,0.579915974791597,28,"5",1,10,0.5,4,0.5,7,1
2,0.5,1,1,1,4,"1",1,10,0.5,4,0.5,8,1
